Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2008-12-31,70844,USD,2008,FY,2009-07-22,722800000.0,729000000.0,60909000000.0,-50352000000.0,10557000000.0,-6852000000.0,-3084000000.0,-3768000000.0,,3705000000.0,286000000.0,-202000000.0,3991000000,4000000.0,3995000000,-1341000000.0,2654000000,18000000.0,2672000000,2672000000
2009-12-31,70844,USD,2009,FY,2010-02-08,709600000.0,713400000.0,68281000000.0,-56540000000.0,11741000000.0,-9870000000.0,-3364000000.0,-6506000000.0,,1871000000.0,-116000000.0,-339000000.0,1755000000,-24000000.0,1731000000,-396000000.0,1335000000,-23000000.0,1312000000,1312000000
2010-12-31,70844,USD,2010,FY,2011-02-09,738100000.0,741200000.0,64306000000.0,-51843000000.0,12463000000.0,-7765000000.0,-3644000000.0,-4121000000.0,,4698000000.0,-197000000.0,-516000000.0,4501000000,6000000.0,4507000000,-1196000000.0,3311000000,-4000000.0,3307000000,3307000000
2011-12-31,70844,USD,2011,FY,2012-02-09,746600000.0,750600000.0,68735000000.0,-55888000000.0,12847000000.0,-7326000000.0,-3408000000.0,-3918000000.0,,5521000000.0,-152000000.0,-477000000.0,5369000000,24000000.0,5393000000,-1382000000.0,4011000000,7000000.0,4018000000,4018000000
2012-12-31,70844,USD,2012,FY,2013-02-11,758000000.0,761500000.0,81698000000.0,-68665000000.0,13033000000.0,-7015000000.0,-3717000000.0,-3298000000.0,,6018000000.0,-112000000.0,-442000000.0,5906000000,4000000.0,5910000000,-2007000000.0,3903000000,-3000000.0,3900000000,3900000000
2013-12-31,70844,USD,2013,FY,2014-02-14,760800000.0,767600000.0,86623000000.0,-73268000000.0,13355000000.0,-7027000000.0,-3956000000.0,-3071000000.0,,6328000000.0,-116000000.0,-386000000.0,6212000000,20000000.0,6232000000,-1646000000.0,4586000000,-1000000.0,4585000000,4585000000
2014-12-31,70844,USD,2014,FY,2015-02-12,728900000.0,736700000.0,90762000000.0,-76752000000.0,14010000000.0,-6814000000.0,-3767000000.0,-3047000000.0,,7196000000.0,-49000000.0,-333000000.0,7147000000,-10000000.0,7137000000,-1691000000.0,5446000000,,5446000000,5446000000
2015-12-31,70844,USD,2015,FY,2016-02-10,688000000.0,695000000.0,96114000000.0,-82088000000.0,14026000000.0,-6856000000.0,-3525000000.0,-3331000000.0,,7170000000.0,-14000000.0,-275000000.0,7156000000,-1000000.0,7155000000,-1979000000.0,5176000000,,5176000000,5176000000
2016-12-31,70844,USD,2016,FY,2017-02-08,636500000.0,642800000.0,94571000000.0,-80790000000.0,13781000000.0,-8243000000.0,-3616000000.0,-4627000000.0,,5538000000.0,37000000.0,-306000000.0,5575000000,-7000000.0,5568000000,-673000000.0,4895000000,,4895000000,4895000000
2017-12-31,70844,USD,2017,FY,2018-02-12,603200000.0,610000000.0,93392000000.0,-76066000000.0,17326000000.0,-7273000000.0,-4094000000.0,-3179000000.0,,10053000000.0,-27000000.0,-360000000.0,10026000000,21000000.0,10047000000,-1850000000.0,8197000000,,8197000000,8197000000
2018-12-31,70844,USD,2018,FY,2019-02-08,579900000.0,579900000.0,101127000000.0,-81490000000.0,19637000000.0,-7836000000.0,-4567000000.0,-3269000000.0,,11801000000.0,-272000000.0,-475000000.0,11529000000,75000000.0,11604000000,-1144000000.0,10460000000,,10460000000,10460000000
